Data,Cliente,Produto,Quantidade,Valor,Desconto,Forma de Pagamento,Nº Vezes,Data Vencimento,Status,Vendedor
2025-08-08,Diogo Cirino,Cadeira Gamer,2,1120.75,20%,Pix,1,2025-08-08,PAGO,Ágatha
2025-02-03,Erick Ribeiro,Processador AMD Ryzen 5,5,5100.8,0%,Pix,1,2025-02-03,PAGO,Luiz Felipe
2025-01-25,Brayan Mendes,HD Externo 1TB,1,377.67,0%,Dinheiro,1,2025-01-25,PAGO,Olívia
2025-11-22,Maria Clara Câmara,Cabo HDMI,5,197.55,0%,Boleto,7,2026-01-21,PENDENTE,Thiago
2025-09-12,Henry Gabriel Machado,Memória RAM 16GB,4,1795.97,10%,Cartão,10,2026-01-10,NÃO PAGO,Maria Sophia
2025-09-02,Isaac Fonseca,Memória RAM 16GB,5,2446.5,0%,Boleto,1,2025-09-02,PENDENTE,Cecilia
2025-05-16,Lívia Pacheco,Fonte 500W,2,525.95,20%,Cartão,4,2025-09-13,PENDENTE,João Gabriel
2025-04-03,Elisa Abreu,Impressora,4,2744.72,15%,Cartão,8,2025-11-29,PENDENTE,Maria
2025-02-16,Ravi Borges,SSD 256GB,2,552.38,0%,Dinheiro,1,2025-02-16,PAGO,Vitor
2025-05-18,Caleb Moura,Placa de Vídeo GTX,2,3090.28,10%,Dinheiro,1,2025-05-18,PAGO,Benício
2025-12-02,Carolina Ramos,Computador Desktop,2,5623.81,10%,Cartão,7,2026-01-31,NÃO PAGO,Eloá
2025-12-28,Noah Viana,Computador Desktop,4,19062.48,0%,Boleto,3,2026-01-27,NÃO PAGO,Nina
2025-01-16,Oliver Sales,SSD 1TB,2,1093.26,0%,Cartão,2,2025-03-17,NÃO PAGO,Maria Júlia
2025-01-08,Rafaela Borges,"Monitor 24""",1,606.53,10%,Pix,1,2025-01-08,PAGO,Thiago
2025-07-10,Marcelo da Mata,Webcam,2,649.66,0%,Cartão,1,2025-07-10,PENDENTE,Isabella
2025-02-27,Yago Oliveira,Cooler para CPU,1,182.29,0%,Dinheiro,1,2025-02-27,PAGO,Benício
2025-09-05,Ana Liz Peixoto,"Monitor 27""",1,1936.35,0%,Boleto,2,2025-11-04,PENDENTE,Julia
2025-05-04,Maysa Oliveira,Processador AMD Ryzen 7,4,7826.84,0%,Cartão,9,2026-01-29,NÃO PAGO,Ana Julia
2025-08-07,Renan Leão,Notebook,5,12571.38,10%,Boleto,11,2026-02-03,PAGO,Thiago
2025-10-30,Hadassa Monteiro,Processador AMD Ryzen 7,3,4399.56,0%,Pix,1,2025-10-30,PAGO,Caleb
2025-06-13,Yan Andrade,Headset,4,1253.58,15%,Boleto,10,2026-01-09,NÃO PAGO,Breno
2025-09-20,Maria Laura Cardoso,Processador AMD Ryzen 5,5,4405.08,20%,Pix,1,2025-09-20,PAGO,Maria
2025-05-05,Vitor Guerra,Cooler para CPU,3,479.94,0%,Boleto,6,2025-11-01,PAGO,Rafael
2025-08-23,Léo Moura,Teclado,2,577.22,0%,Dinheiro,1,2025-08-23,PAGO,Beatriz
2025-09-08,Cauê Nunes,Pendrive 64GB,1,89.5,0%,Dinheiro,1,2025-09-08,PAGO,Anthony
2025-09-24,Lucas Pacheco,Gabinete,5,1208.1,0%,Cartão,1,2025-09-24,NÃO PAGO,Maria Alice
2025-11-09,Helena Campos,Impressora,4,4340.36,0%,Boleto,12,2026-02-07,PENDENTE,Murilo
2025-01-02,Eloah da Cunha,Notebook,1,2090.47,15%,Boleto,5,2025-06-01,NÃO PAGO,Pietra
2025-11-13,Hellena Sampaio,Teclado,2,378.07,10%,Pix,1,2025-11-13,PAGO,Alícia
2025-12-13,Arthur Miguel Guerra,Cabo HDMI,4,134.14,20%,Cartão,7,2026-01-12,PAGO,Isaque
2025-03-26,Eloah Alves,Cabo HDMI,2,60.06,0%,Pix,1,2025-03-26,PAGO,Breno
2025-05-19,João Lucas Campos,Processador AMD Ryzen 7,5,5736.44,20%,Cartão,4,2025-09-16,PENDENTE,Breno
2025-08-02,Vinicius Duarte,Cabo de Rede,2,95.12,0%,Dinheiro,1,2025-08-02,PAGO,Ana
2025-04-25,Gael Henrique Jesus,Webcam,5,1053.36,20%,Cartão,3,2025-07-24,PENDENTE,Gael Henrique
2025-05-01,Bento Silveira,Processador AMD Ryzen 5,1,679.9,20%,Pix,1,2025-05-01,PAGO,Emanuelly
2025-01-31,Leonardo Melo,Teclado,2,179.04,15%,Pix,1,2025-01-31,PAGO,Isaque
2025-04-23,José Miguel Melo,Mouse,2,196.16,5%,Dinheiro,1,2025-04-23,PAGO,Ísis
2025-10-21,Luiz Henrique Barbosa,Memória RAM 16GB,2,535.08,0%,Cartão,4,2026-01-19,PAGO,Sophie
2025-06-28,Mirella Pastor,Headset,3,1029.45,0%,Dinheiro,1,2025-06-28,PAGO,Calebe
2025-03-11,Ian Guerra,Memória RAM 16GB,2,669.86,0%,Boleto,6,2025-09-07,PAGO,Valentina
2025-02-10,Rodrigo Cassiano,Placa de Vídeo RTX,1,3348.86,0%,Boleto,11,2026-01-06,PAGO,Matteo
2025-04-10,Guilherme da Paz,Teclado,3,402.84,0%,Boleto,12,2026-02-04,PENDENTE,Maria Clara
2025-04-01,Caroline Cavalcanti,Fonte 500W,2,404.98,5%,Cartão,4,2025-07-30,NÃO PAGO,Helena
2025-03-09,Maria Flor Camargo,Processador AMD Ryzen 7,5,8850.46,15%,Boleto,6,2025-09-05,PENDENTE,Isis
2025-09-09,Luana Porto,Notebook,3,5825.63,10%,Cartão,9,2026-02-06,NÃO PAGO,Beatriz
2025-10-18,Vinicius Guerra,Computador Desktop,5,18866.55,0%,Pix,1,2025-10-18,PAGO,João Miguel
2025-09-23,Daniela Rios,Computador Desktop,1,4822.73,15%,Boleto,1,2025-09-23,PAGO,Brenda
2025-06-30,Emanuelly Farias,Webcam,3,501.36,0%,Dinheiro,1,2025-06-30,PAGO,Maria Eduarda
2025-10-06,Otto da Cruz,Placa de Vídeo GTX,4,5353.68,0%,Dinheiro,1,2025-10-06,PAGO,Ana Júlia
2025-07-27,Lívia Caldeira,Processador Intel i5,4,4699.12,0%,Boleto,11,2026-01-23,PENDENTE,Maria Isis
2025-04-09,Matteo Rios,Cooler para CPU,1,107.32,5%,Cartão,11,2026-02-03,NÃO PAGO,Maria Julia
2025-02-05,Pedro Fogaça,Roteador Wi-Fi,1,270.57,15%,Pix,1,2025-02-05,PAGO,Kaique
2025-08-14,Luan Nogueira,Webcam,1,298.31,15%,Pix,1,2025-08-14,PAGO,Asafe
2025-05-20,Rodrigo Lopes,Switch de Rede,2,832.7,0%,Boleto,6,2025-11-16,NÃO PAGO,Lorenzo
2025-11-30,Gabriela Brito,"Monitor 24""",4,3406.64,0%,Boleto,11,2026-01-29,PENDENTE,André
2025-10-14,Igor Monteiro,"Monitor 24""",1,861.8,10%,Dinheiro,1,2025-10-14,PAGO,Aylla
2025-10-20,Luan Casa Grande,Processador Intel i7,1,2259.17,0%,Pix,1,2025-10-20,PAGO,Bento
2025-09-12,André Pacheco,"Monitor 24""",4,2262.1,10%,Pix,1,2025-09-12,PAGO,Bryan
2025-01-22,Marcelo Nunes,Placa de Vídeo RTX,3,6763.88,15%,Pix,1,2025-01-22,PAGO,Stella
2025-01-07,Ana Lívia Freitas,Impressora,3,1863.75,0%,Boleto,12,2026-01-02,PAGO,Pedro
2025-12-27,Gustavo Henrique da Cruz,Teclado,1,96.96,0%,Boleto,7,2026-01-26,PAGO,Cecília
2025-03-20,Giovanna Nogueira,Roteador Wi-Fi,1,100.51,5%,Dinheiro,1,2025-03-20,PAGO,Marcos Vinicius
2025-06-10,Benicio Porto,Pendrive 32GB,2,65.08,15%,Boleto,2,2025-08-09,PAGO,Paulo
2025-09-26,José Miguel Vieira,Placa de Vídeo GTX,2,2167.26,15%,Boleto,4,2026-01-24,PENDENTE,Ana Julia
2025-03-26,Raquel Costela,Fonte 500W,2,481.93,5%,Pix,1,2025-03-26,PAGO,Isabella
2025-03-13,Stella Costela,Mouse,2,76.58,0%,Dinheiro,1,2025-03-13,PAGO,Theo
2025-03-11,Rebeca da Rocha,Cabo HDMI,2,121.52,0%,Boleto,11,2026-02-04,NÃO PAGO,Paulo
2025-12-25,Arthur Miguel Rodrigues,SSD 512GB,2,1083.92,0%,Cartão,10,2026-01-24,PAGO,Maria Liz
2025-03-08,Raquel Rezende,Impressora,3,3730.89,0%,Dinheiro,1,2025-03-08,PAGO,Natália
2025-09-02,Antonella da Cunha,Impressora,3,2718.33,15%,Boleto,6,2026-01-30,PENDENTE,Kevin
2025-04-10,João Lucas Moreira,Cabo HDMI,2,93.36,15%,Boleto,10,2026-02-04,NÃO PAGO,Thales
2025-11-09,Maria Helena Macedo,Cadeira Gamer,1,1087.91,15%,Boleto,5,2026-02-07,NÃO PAGO,Kaique
2025-02-17,Eloah Abreu,Fonte 500W,1,218.28,15%,Cartão,12,2026-01-13,PAGO,Eloá
2025-04-23,João Pedro Carvalho,Roteador Wi-Fi,2,455.04,10%,Cartão,12,2026-01-18,PAGO,Bruno
2025-08-14,Rafael Porto,Pendrive 64GB,2,95.86,0%,Dinheiro,1,2025-08-14,PAGO,Luiz Otávio
2025-06-22,Maria Helena Aragão,SSD 512GB,3,959.62,15%,Cartão,2,2025-08-21,PENDENTE,Ísis
2025-11-03,Benjamin Casa Grande,SSD 256GB,4,910.75,5%,Pix,1,2025-11-03,PAGO,Pietra
2025-04-17,Ravi Lucca Azevedo,Fonte 700W,2,733.98,0%,Pix,1,2025-04-17,PAGO,Emanuelly
2025-04-26,Bento Rezende,Teclado,5,991.76,20%,Boleto,4,2025-08-24,NÃO PAGO,Apollo
2025-07-12,Fernanda Aragão,Placa de Vídeo GTX,2,2299.53,5%,Pix,1,2025-07-12,PAGO,Guilherme
2025-07-09,Otto Abreu,"Monitor 27""",4,4757.6,20%,Cartão,2,2025-09-07,PAGO,Ana Beatriz
2025-10-24,Yago Duarte,Cabo de Rede,5,146.11,15%,Dinheiro,1,2025-10-24,PAGO,Kevin
2025-07-24,Gustavo Henrique Garcia,Pendrive 64GB,3,144.96,20%,Pix,1,2025-07-24,PAGO,Gustavo
2025-01-09,Heloísa Alves,Processador Intel i5,4,4574.7,15%,Dinheiro,1,2025-01-09,PAGO,Diogo
2025-12-19,Hellena Barros,Roteador Wi-Fi,5,1360.55,0%,Boleto,10,2026-01-18,PAGO,Aurora
2025-05-17,Arthur Gabriel Novaes,Impressora,2,692.26,20%,Boleto,8,2026-01-12,NÃO PAGO,Joaquim
2025-04-27,Gael Henrique Machado,Pendrive 64GB,4,145.57,20%,Dinheiro,1,2025-04-27,PAGO,Rael
2025-04-14,Léo Aparecida,Computador Desktop,5,12827.9,5%,Cartão,8,2025-12-10,NÃO PAGO,Benício
2025-01-30,Raul Barros,Memória RAM 8GB,4,630.29,10%,Dinheiro,1,2025-01-30,PAGO,Giovanna
2025-12-29,Alice Monteiro,Headset,4,398.76,0%,Boleto,6,2026-01-28,PENDENTE,Maria Luiza
2025-12-29,Luísa Pastor,Webcam,3,1455.45,0%,Pix,1,2025-12-29,PAGO,André
2025-07-10,Luiz Miguel Lima,Gabinete,1,591.36,0%,Dinheiro,1,2025-07-10,PAGO,Gustavo
2025-08-17,Théo Monteiro,Computador Desktop,5,18206.6,0%,Boleto,2,2025-10-16,PENDENTE,Nicole
2025-10-28,Natália Pastor,Cooler para CPU,5,579.5,0%,Cartão,10,2026-01-26,PENDENTE,Rebeca
2025-04-15,Maria Isis Monteiro,Teclado,3,155.86,20%,Pix,1,2025-04-15,PAGO,Beatriz
2025-11-20,Sofia Vieira,Fonte 500W,5,1717.3,0%,Boleto,9,2026-01-19,PENDENTE,Ayla
2025-08-30,Yuri Guerra,Pendrive 64GB,2,176.74,0%,Pix,1,2025-08-30,PAGO,Clarice
2025-10-03,Luísa Pinto,"Monitor 24""",4,2712.1,5%,Cartão,11,2026-01-31,PAGO,Cecilia
2025-08-06,Davi da Costa,SSD 1TB,2,1612.12,0%,Cartão,8,2026-02-02,NÃO PAGO,Vinicius
2025-09-17,Lucas Rezende,Placa-Mãe,3,1637.15,15%,Dinheiro,1,2025-09-17,PAGO,Laura
2025-09-15,Fernanda Aragão,Pendrive 32GB,1,30.83,15%,Pix,1,2025-09-15,PAGO,Ian
2025-08-12,Juan Correia,Fonte 500W,2,352.1,20%,Cartão,5,2026-01-09,PENDENTE,Manuela
2025-09-04,Eloá Melo,Fonte 700W,3,1235.6,10%,Cartão,11,2026-02-01,PENDENTE,Igor
2025-11-08,Maria Liz Andrade,Impressora,3,2855.94,0%,Cartão,7,2026-02-06,NÃO PAGO,Luiz Henrique
2026-01-03,Alana Cirino,Memória RAM 8GB,5,1103.27,10%,Cartão,4,2026-02-02,NÃO PAGO,Gustavo Henrique
2025-05-12,Marcelo Pereira,Fonte 500W,3,728.1,0%,Dinheiro,1,2025-05-12,PAGO,Mateus
2025-02-07,Lorenzo Vasconcelos,Processador Intel i5,3,3958.14,0%,Pix,1,2025-02-07,PAGO,Joana
2025-03-06,Maria Cecília Silva,Cabo HDMI,4,132.98,10%,Dinheiro,1,2025-03-06,PAGO,Alícia
2025-01-01,Davi Luiz Fonseca,Switch de Rede,4,1188.54,15%,Pix,1,2025-01-01,PAGO,Luísa
2025-07-09,Maya Nogueira,Impressora,5,4207.2,15%,Pix,1,2025-07-09,PAGO,Esther
2025-12-31,Milena Vieira,Mesa para Computador,3,2148.99,5%,Dinheiro,1,2025-12-31,PAGO,Maria Alice
2025-07-13,Lívia da Paz,HD Externo 1TB,3,1279.83,0%,Cartão,12,2026-01-09,PAGO,Yago
2025-04-12,Joaquim Montenegro,Memória RAM 16GB,5,1407.2,0%,Dinheiro,1,2025-04-12,PAGO,Sara
2025-07-12,Ana Vitória Novaes,SSD 1TB,4,2137.57,20%,Cartão,2,2025-09-10,PENDENTE,Augusto
2025-12-23,Marcos Vinicius Dias,Mesa para Computador,4,3280.61,10%,Dinheiro,1,2025-12-23,PAGO,Bernardo
2025-03-13,Pedro Henrique Silva,Processador AMD Ryzen 5,1,1291.23,0%,Dinheiro,1,2025-03-13,PAGO,Maria Fernanda
2025-07-22,Davi Miguel Pastor,Pendrive 64GB,5,324.9,0%,Cartão,1,2025-07-22,PAGO,Maya
2025-10-13,Manuella Mendes,Placa de Vídeo GTX,1,1597.16,10%,Dinheiro,1,2025-10-13,PAGO,Ana Carolina
2025-01-03,Vicente Câmara,Pendrive 64GB,5,263.53,5%,Pix,1,2025-01-03,PAGO,Lavínia
2025-02-07,Maria Cecília Ramos,"Monitor 27""",3,4983.58,10%,Dinheiro,1,2025-02-07,PAGO,Gabriel
2026-01-01,Isaac Peixoto,Processador AMD Ryzen 7,4,5234.64,15%,Pix,1,2026-01-01,PAGO,Mariane
2025-08-25,Hadassa Sales,Processador AMD Ryzen 5,2,1575.5,10%,Dinheiro,1,2025-08-25,PAGO,Kamilly
2025-03-31,Marcela Rios,Computador Desktop,2,5320.27,15%,Boleto,2,2025-05-30,PENDENTE,Ana Beatriz
2025-10-06,Ana Pires,SSD 256GB,2,347.07,5%,Cartão,1,2025-10-06,PENDENTE,Mariane
2025-01-04,Arthur Miguel Melo,Pendrive 64GB,4,291.12,0%,Dinheiro,1,2025-01-04,PAGO,Lorenzo
2025-06-27,Ana Vitória Cavalcanti,SSD 256GB,1,187.31,10%,Boleto,3,2025-09-25,PAGO,Sarah
2025-05-22,Heloísa Sá,Fonte 700W,1,331.44,15%,Dinheiro,1,2025-05-22,PAGO,Lívia
2025-12-23,Davi Lucas Farias,SSD 512GB,3,1429.77,0%,Dinheiro,1,2025-12-23,PAGO,Isabella
2025-10-31,Davi Miguel Pinto,SSD 512GB,3,1696.26,5%,Pix,1,2025-10-31,PAGO,Emanuel
2025-08-14,Vitor Rezende,SSD 256GB,3,956.37,5%,Dinheiro,1,2025-08-14,PAGO,Thales
2025-07-03,Ana Luiza Andrade,Mouse,4,346.12,0%,Boleto,8,2026-01-29,PAGO,Alana
2025-07-27,Benjamim Cardoso,Fonte 700W,3,1768.83,0%,Pix,1,2025-07-27,PAGO,Maria Clara
2025-01-26,João da Rosa,HD Externo 1TB,3,976.53,0%,Dinheiro,1,2025-01-26,PAGO,Maria Luiza
2025-11-19,Benjamin Borges,Memória RAM 8GB,3,698.61,0%,Dinheiro,1,2025-11-19,PAGO,Bárbara
2025-01-11,Sabrina Marques,Headset,2,162.1,0%,Boleto,10,2025-11-07,NÃO PAGO,Catarina
2025-11-08,Luiza Nogueira,Cooler para CPU,4,669.32,15%,Dinheiro,1,2025-11-08,PAGO,Davi Luiz
2025-09-04,Ana Vitória Novais,Placa de Vídeo GTX,5,7807.4,0%,Cartão,6,2026-02-01,PENDENTE,Ravy
2025-08-28,Letícia Siqueira,Cabo de Rede,1,26.5,20%,Boleto,12,2026-01-25,PENDENTE,Marcela
2025-02-18,Théo da Mata,Mesa para Computador,1,834.63,20%,Boleto,11,2026-01-14,NÃO PAGO,Alana
2025-06-20,Julia Duarte,Webcam,5,1512.24,15%,Boleto,5,2025-11-17,PAGO,Ísis
2025-03-09,Emanuelly Fonseca,Cadeira Gamer,5,6218.75,0%,Dinheiro,1,2025-03-09,PAGO,Mathias
2025-09-27,Mariana Pires,Placa de Vídeo RTX,3,7285.99,15%,Dinheiro,1,2025-09-27,PAGO,Júlia
2025-03-16,Marcos Vinicius Pimenta,Roteador Wi-Fi,3,961.56,0%,Cartão,4,2025-07-14,NÃO PAGO,Ana Cecília
2025-08-28,Melissa da Cruz,Mesa para Computador,4,3836.46,15%,Cartão,11,2026-01-25,PAGO,Kevin
2025-11-21,Vinícius Cardoso,SSD 256GB,2,319.29,15%,Dinheiro,1,2025-11-21,PAGO,Ravy
2025-03-17,Maria Vitória Castro,"Monitor 24""",1,646.62,0%,Dinheiro,1,2025-03-17,PAGO,Luiz Henrique
2025-01-03,Diogo Lopes,Pendrive 32GB,3,97.89,0%,Boleto,10,2025-10-30,PENDENTE,Luigi
2025-05-16,Luara Rocha,Roteador Wi-Fi,4,368.7,15%,Pix,1,2025-05-16,PAGO,Thales
2025-06-15,Laura Gomes,Cadeira Gamer,5,2909.89,15%,Pix,1,2025-06-15,PAGO,Miguel
2025-12-27,Maitê Caldeira,Pendrive 64GB,4,261.63,5%,Pix,1,2025-12-27,PAGO,André
2025-11-29,Maria Alice Araújo,Placa de Vídeo GTX,1,1049.4,20%,Boleto,11,2026-01-28,PENDENTE,Antônio
2025-03-09,Ana Cassiano,Placa de Vídeo GTX,1,1379.66,20%,Dinheiro,1,2025-03-09,PAGO,Ágatha
2025-06-17,Isabel Pastor,SSD 1TB,4,2181.89,20%,Dinheiro,1,2025-06-17,PAGO,Bryan
2025-04-16,Ana Sophia Cavalcanti,Pendrive 32GB,1,50.07,0%,Pix,1,2025-04-16,PAGO,Francisco
2025-12-18,Maitê Camargo,Processador AMD Ryzen 7,1,2107.34,0%,Pix,1,2025-12-18,PAGO,Daniel
2025-04-10,Bella Nogueira,Memória RAM 8GB,3,714.33,0%,Pix,1,2025-04-10,PAGO,Gael
2025-03-31,Ian Castro,Teclado,3,171.77,10%,Cartão,3,2025-06-29,PENDENTE,Ágatha
2025-01-27,Helena Guerra,Cadeira Gamer,3,3257.16,0%,Pix,1,2025-01-27,PAGO,Josué
2025-12-07,Julia Pires,"Monitor 24""",3,1663.3,20%,Dinheiro,1,2025-12-07,PAGO,Lorenzo
2025-01-22,Ravi Carvalho,Notebook,1,1826.92,10%,Boleto,11,2025-12-18,PAGO,Ana Sophia
2025-02-10,Manuella Jesus,Switch de Rede,2,709.0,5%,Dinheiro,1,2025-02-10,PAGO,Olivia
2025-09-18,Erick Martins,Processador AMD Ryzen 5,5,5430.25,0%,Boleto,2,2025-11-17,PAGO,Benjamim
2025-02-06,Liz Farias,Processador Intel i7,5,11003.6,0%,Cartão,8,2025-10-04,PAGO,Alexia
2025-05-03,Maria Vitória Pinto,Processador AMD Ryzen 5,3,3622.86,0%,Boleto,8,2025-12-29,PENDENTE,Sabrina
2025-07-12,Elisa Pires,Headset,5,1165.6,5%,Boleto,9,2026-02-07,PENDENTE,João Felipe
2025-04-17,Cecília Mendes,Placa-Mãe,4,2293.24,10%,Cartão,5,2025-09-14,NÃO PAGO,Emanuel
2025-05-06,Otto Novais,Processador Intel i7,3,5075.34,15%,Pix,1,2025-05-06,PAGO,Antonella
2025-04-14,Catarina da Rosa,Mouse,5,625.35,0%,Dinheiro,1,2025-04-14,PAGO,Milena
2025-10-09,Sara Rodrigues,Fonte 500W,2,692.14,0%,Dinheiro,1,2025-10-09,PAGO,Ana
2025-09-21,Marcos Vinicius Peixoto,Memória RAM 8GB,4,1126.68,0%,Dinheiro,1,2025-09-21,PAGO,Ana Lívia
2025-12-05,Stella Almeida,Roteador Wi-Fi,4,1023.33,15%,Boleto,2,2026-02-03,PENDENTE,Sophie
2025-04-01,Benicio Araújo,Cabo de Rede,1,27.96,10%,Cartão,9,2025-12-27,PAGO,Felipe
2025-07-23,Thales Campos,Cabo de Rede,1,22.51,5%,Boleto,4,2025-11-20,PAGO,João Pedro
2025-12-13,Ana Júlia da Cunha,Impressora,5,4719.75,0%,Dinheiro,1,2025-12-13,PAGO,Theo
2025-01-04,Maria Sophia Farias,Placa-Mãe,4,3593.26,15%,Cartão,10,2025-10-31,PAGO,Emanuelly
2025-05-14,Bárbara Cunha,HD Externo 1TB,1,249.55,5%,Cartão,7,2025-12-10,PAGO,Carlos Eduardo
2025-07-11,Arthur Camargo,Mouse,4,250.36,0%,Dinheiro,1,2025-07-11,PAGO,Bella
2025-10-05,Hadassa Castro,HD Externo 1TB,2,686.42,0%,Dinheiro,1,2025-10-05,PAGO,Gustavo Henrique
2025-08-21,Pedro Sampaio,Processador Intel i5,4,4085.72,0%,Pix,1,2025-08-21,PAGO,Aylla
2025-02-17,Ana Beatriz da Costa,Roteador Wi-Fi,3,1047.21,0%,Pix,1,2025-02-17,PAGO,Ayla
2025-02-28,Júlia Araújo,Cooler para CPU,1,145.32,20%,Cartão,1,2025-02-28,NÃO PAGO,Evelyn
2026-01-01,Ayla Fonseca,Gabinete,1,526.94,10%,Cartão,3,2026-01-31,PENDENTE,Diogo
2025-07-18,Gustavo da Cruz,Cadeira Gamer,4,2656.81,5%,Cartão,11,2026-01-14,NÃO PAGO,Maria
2025-07-02,Gustavo Henrique da Rosa,Roteador Wi-Fi,4,1101.88,0%,Dinheiro,1,2025-07-02,PAGO,Breno
2025-04-10,Enzo Garcia,Pendrive 64GB,3,131.88,0%,Cartão,8,2025-12-06,NÃO PAGO,Maria Júlia
2025-10-23,Ana Clara Cavalcanti,Teclado,4,958.02,5%,Cartão,12,2026-01-21,NÃO PAGO,Carolina
2025-09-30,Sophie Moreira,Gabinete,4,1845.8,0%,Cartão,12,2026-01-28,NÃO PAGO,Mariana
2025-02-28,Arthur Gabriel Melo,"Monitor 27""",1,1335.86,20%,Cartão,2,2025-04-29,PENDENTE,Brenda
2025-04-18,João Felipe Siqueira,Pendrive 64GB,1,65.82,5%,Boleto,1,2025-04-18,NÃO PAGO,Luiza
2025-01-04,Gabriela Ribeiro,Processador AMD Ryzen 7,1,1487.25,15%,Dinheiro,1,2025-01-04,PAGO,Maysa
2025-03-21,José Lima,Cabo de Rede,3,119.67,0%,Cartão,9,2025-12-16,PENDENTE,Liam
2025-10-03,Cauê Silveira,Memória RAM 16GB,2,644.28,0%,Cartão,12,2026-01-31,PENDENTE,Lorena
2025-07-07,Benicio Sousa,Cabo HDMI,4,138.58,15%,Pix,1,2025-07-07,PAGO,Eloá
2025-07-08,Kevin da Rocha,Fonte 500W,5,982.98,15%,Dinheiro,1,2025-07-08,PAGO,Anna Liz
2025-06-13,Heloisa Albuquerque,Teclado,3,807.42,0%,Cartão,1,2025-06-13,PAGO,Carlos Eduardo
2025-01-04,Emanuella Cardoso,SSD 512GB,3,1336.26,0%,Dinheiro,1,2025-01-04,PAGO,Benjamin
2025-10-22,Melina Macedo,Headset,2,326.14,0%,Pix,1,2025-10-22,PAGO,Heitor
2025-10-20,João Lucas da Cunha,Fonte 500W,4,932.12,0%,Cartão,5,2026-01-18,PAGO,Mathias
2025-09-17,Camila da Cunha,Processador Intel i7,4,6054.46,5%,Pix,1,2025-09-17,PAGO,Sophia
2025-11-19,Ana Lívia Gonçalves,Memória RAM 8GB,2,312.9,20%,Pix,1,2025-11-19,PAGO,Antonella
2025-04-11,Kaique Costela,Teclado,5,1122.26,15%,Cartão,1,2025-04-11,NÃO PAGO,Melina
2025-06-12,Juliana Nascimento,SSD 1TB,4,2262.92,0%,Dinheiro,1,2025-06-12,PAGO,Nicole
2025-04-08,Pedro Henrique Porto,Notebook,5,14619.11,15%,Pix,1,2025-04-08,PAGO,Enrico
2025-01-31,Júlia Sá,Gabinete,5,661.85,15%,Cartão,9,2025-10-28,PENDENTE,Luara
2025-09-29,Ryan Ramos,Cooler para CPU,1,128.18,10%,Dinheiro,1,2025-09-29,PAGO,Luiz Gustavo
2025-05-06,Maria Julia Azevedo,Cabo de Rede,1,27.88,15%,Pix,1,2025-05-06,PAGO,Vitor Gabriel
2025-10-11,Marina Rios,Pendrive 64GB,3,151.44,0%,Pix,1,2025-10-11,PAGO,Joana
2025-06-05,Luiz Henrique Martins,Memória RAM 8GB,1,255.76,10%,Boleto,8,2026-01-31,PENDENTE,Murilo
2025-07-17,José Pedro Pastor,Webcam,4,796.14,10%,Cartão,1,2025-07-17,NÃO PAGO,Natália
2025-01-01,Gabriela Barros,Fonte 700W,1,599.04,0%,Cartão,3,2025-04-01,NÃO PAGO,Luara
2025-02-02,Isabelly Costela,Headset,1,299.03,0%,Boleto,1,2025-02-02,NÃO PAGO,Felipe
2025-11-22,Heitor Pastor,Mesa para Computador,5,1946.97,10%,Dinheiro,1,2025-11-22,PAGO,Rhavi
2025-05-31,Gael Azevedo,Cabo de Rede,3,85.53,0%,Boleto,1,2025-05-31,PAGO,Yasmin
2025-06-21,Lunna Melo,Mesa para Computador,5,2586.82,10%,Boleto,2,2025-08-20,PAGO,Laís
2025-07-19,Heloísa Fonseca,"Monitor 24""",3,2783.3,15%,Pix,1,2025-07-19,PAGO,Yasmin
2025-09-27,Ian Peixoto,Headset,2,776.96,0%,Cartão,5,2026-01-25,PAGO,Oliver
2025-12-03,Mariane Fogaça,"Monitor 27""",5,5022.15,0%,Cartão,9,2026-02-01,PAGO,Mateus
2025-10-26,Ana Laura Leão,Teclado,4,1096.56,0%,Pix,1,2025-10-26,PAGO,Ísis
2025-05-15,Vitor Gabriel Camargo,Cadeira Gamer,2,1781.18,0%,Dinheiro,1,2025-05-15,PAGO,Marina
2025-05-25,Lavínia Lopes,Teclado,5,944.95,0%,Boleto,10,2026-01-20,NÃO PAGO,Sara
2025-07-13,Ana Clara Gonçalves,Cadeira Gamer,2,3681.66,0%,Boleto,3,2025-10-11,PENDENTE,Davi Lucca
2025-05-24,Alice Lima,Processador Intel i5,3,2648.33,15%,Pix,1,2025-05-24,PAGO,Bruna
2025-09-10,Vicente Araújo,Fonte 500W,1,247.09,0%,Cartão,7,2026-02-07,PENDENTE,Luiz Fernando
2025-09-09,Maria Sophia Albuquerque,Pendrive 64GB,1,64.81,0%,Dinheiro,1,2025-09-09,PAGO,Nathan
2025-06-05,Lívia Caldeira,Pendrive 64GB,5,235.32,5%,Dinheiro,1,2025-06-05,PAGO,Ísis
2026-01-07,Yago Pereira,Pendrive 64GB,5,213.1,0%,Pix,1,2026-01-07,PAGO,Maria Flor
2025-02-23,Sara Novais,Placa de Vídeo RTX,5,15204.33,10%,Boleto,1,2025-02-23,PENDENTE,Isabel
2025-05-21,Cauê Cavalcanti,Headset,4,508.35,20%,Boleto,1,2025-05-21,PENDENTE,Kevin
